NumerPracownika,Imie,Nazwisko,Specjalizacja
WNANMI3025,Angelika,Minkiewicz,Cardio
WNMOIN4585,Monika,Indyka,Fitness
WNNIRO5838,Nicole,Rompa,Stretch
WNJEPI5424,Jędrzej,Pietrak,Siłownia
WNRAKL9217,Rafał,Klisz,Stretch
WNBOSZ5230,Borys,Szlachcic,Stretch
WNAPJA5260,Apolonia,Janoszka,Fitness
WNROKU2025,Rozalia,Kuczak,Yoga
WNSAZA3777,Sandra,Zacharewicz,Stretch
WNMASI7472,Maciej,Siemek,Fitness
WNROBA6596,Rozalia,Bacia,Pilates
WNMAJE5878,Marianna,Jędryczka,Zumba
WNDAWY1252,Daniel,Wyrobek,Yoga
WNMOGA9746,Monika,Gajdzik,Fitness
WNTODU3595,Tobiasz,Dułak,Siłownia
